qname,path_count,parent_count,total_occurrences
bus:UseEntityOfficerStatusDimensionToIdentifyExecutiveOrNon-executiveStatusGuidance,2,2,2
core:AcceptancesEndorsements,2,2,2
core:AccruedLiabilitiesNotExpressedWithinCreditorsSubtotal,2,2,2
core:AdministrativeExpenses,2,2,2
core:AmortisationExpenseIntangibleAssets,2,2,2
core:ApprovalFinancialStatementsHeading,2,2,2
core:Associate1,2,2,2
core:Associate10,2,2,2
core:Associate11,2,2,2
core:Associate12,2,2,2
core:Associate13,2,2,2
core:Associate14,2,2,2
core:Associate15,2,2,2
core:Associate16,2,2,2
core:Associate17,2,2,2
core:Associate18,2,2,2
core:Associate19,2,2,2
core:Associate2,2,2,2
core:Associate20,2,2,2
core:Associate21,2,2,2
core:Associate22,2,2,2
core:Associate23,2,2,2
core:Associate24,2,2,2
core:Associate25,2,2,2
core:Associate26,2,2,2
core:Associate27,2,2,2
core:Associate28,2,2,2
core:Associate29,2,2,2
core:Associate3,2,2,2
core:Associate30,2,2,2
core:Associate31,2,2,2
core:Associate32,2,2,2
core:Associate33,2,2,2
core:Associate34,2,2,2
core:Associate35,2,2,2
core:Associate36,2,2,2
core:Associate37,2,2,2
core:Associate38,2,2,2
core:Associate39,2,2,2
core:Associate4,2,2,2
core:Associate40,2,2,2
core:Associate41,2,2,2
core:Associate42,2,2,2
core:Associate43,2,2,2
core:Associate44,2,2,2
core:Associate45,2,2,2
